source_id,doi,year,corresponding,all_authors
SCOPUS_ID:84979016960,10.1093/femsec/fiw120,2016,,Christen R.
SCOPUS_ID:84979072363,10.1016/j.npg.2016.06.004,2017,,Quaderi A.|Vaillant-Ciszewicz A.J.|Rossi R.
SCOPUS_ID:84979246874,10.4267/2042/60676,2016,,Delanoy G.
SCOPUS_ID:84979257365,10.3847/0004-637X/826/1/44,2016,,Lagadec E.
SCOPUS_ID:84979285066,10.2106/JBJS.O.00760,2016,,Bronsard N.|Baque P.|De Peretti F.|Camuzard O.
SCOPUS_ID:84979737543,10.1080/13534645.2016.1201922,2016,Espineira K.|UCA (affiliation),Espineira K.
SCOPUS_ID:84981207034,10.1051/parasite/2016031,2016,,Loubatier C.|Cannet A.|Delaunay P.|Marty P.
SCOPUS_ID:84981240844,10.1007/978-3-319-43425-4_23,2016,Neglia G.|UCA (affiliation),Neglia G.|Alouf S.|Tuholukova A.
SCOPUS_ID:84981298747,10.1109/EWME.2016.7496477,2016,,Wei Z.|Jacquemod G.|Leduc Y.
SCOPUS_ID:84981347668,10.1016/j.erap.2015.07.002,2016,,Beauvois J.L.
SCOPUS_ID:84981528464,10.1136/heartjnl-2016-310003,2017,,Moceri P.
SCOPUS_ID:84981713228,10.1016/j.canrad.2016.07.038,2016,,Hannoun-Lévi J.M.
SCOPUS_ID:84981723023,10.1097/ACI.0000000000000303,2016,,Munblit D.|Verhasselt V.
SCOPUS_ID:84982099140,10.1186/s13063-016-1484-0,2016,,Brulat N.|Muller Bolla M.
SCOPUS_ID:84982311633,10.1016/j.anaerobe.2016.08.003,2016,,Ehrmann E.|Fosse T.
SCOPUS_ID:84982784032,10.1163/22134360-09001052,2016,Bonacci G.|UCA (affiliation),Bonacci G.
SCOPUS_ID:84983036452,10.1093/mnras/stw829,2016,,Martinez-Aviles G.
SCOPUS_ID:84983445246,10.1007/s00428-016-2004-z,2016,Hofman P.|UCA (affiliation),Hofman P.
SCOPUS_ID:84983471854,10.1016/j.bbapap.2016.08.001,2016,,Horin C.
SCOPUS_ID:84984622665,10.1038/nm.4171,2016,,Amri E.Z.
SCOPUS_ID:84984626854,10.1016/j.econmod.2016.07.022,2016,,Groslambert B.|Bruno O.|Chiappini R.
SCOPUS_ID:84984714675,10.1515/agp-2016-0009,2016,,Delanoy G.
SCOPUS_ID:84985027767,10.15252/embr.201541504,2016,,Lacas-Gervais S.|Lalli E.|Doghman-Bouguerra M.|Brau F.
SCOPUS_ID:84985911765,10.1051/eas/1678004,2016,Labeyrie A.|Observatoire de la Côte d'Azur,Labeyrie A.
SCOPUS_ID:84985916786,10.1051/eas/1678002,2016,Mourard D.|Observatoire de la Côte d'Azur,Mourard D.
SCOPUS_ID:84986231580,10.1007/978-3-319-44953-1_14,2016,,Perez G.|Régin J.C.
SCOPUS_ID:84986270375,10.1007/s10601-016-9256-8,2017,,Rueher M.
SCOPUS_ID:84986285637,10.4000/conflits.19321,2016,Selek P.|UCA (affiliation),Selek P.
SCOPUS_ID:84986290313,10.1111/liv.13135,2016,,Hofliger P.
SCOPUS_ID:84986540182,10.1136/jmedgenet-2016-103988,2017,,Muller-Bolla M.
SCOPUS_ID:84987646009,10.1109/RCIS.2016.7549299,2016,,Mirbel I.
SCOPUS_ID:84987677333,10.4000/medievales.7726,2016,Fievet R.|UCA (affiliation),Fievet R.
SCOPUS_ID:84987678109,10.1038/srep32403,2016,,Lavoir A.V.|Seassau A.|Han P.|Desneux N.|Michel T.
SCOPUS_ID:84987736340,10.1126/science.aaf6919,2016,,Jacobson S.|Morbidelli A.
SCOPUS_ID:84987879864,10.1016/j.jaci.2016.07.021,2017,,Rekima A.|Verhasselt V.|Tulic M.K.
SCOPUS_ID:84988319240,10.1785/0120150284,2016,,Santisi D’avila M.P.
SCOPUS_ID:84988359603,10.1063/1.4962467,2016,,Grasselli Y.|Meunier A.|Bossis G.|Volkova O.
SCOPUS_ID:84988484844,10.1016/j.humpath.2016.07.019,2016,,Deckert M.
SCOPUS_ID:84988521782,10.1016/j.ridd.2016.09.009,2016,,Broc L.
SCOPUS_ID:84988735688,10.1007/s11695-016-2383-x,2017,,Hébuterne X.|Schneider S.
SCOPUS_ID:84988851054,10.1109/INFCOMW.2016.7562249,2016,,Sassatelli L.|Poliakov V.
SCOPUS_ID:84988961141,10.1002/asna.201612398,2016,,Hayden M.R.|Schultheis M.
SCOPUS_ID:84989825472,10.1007/s40314-015-0295-3,2016,,Namouni F.|Namouni F.
SCOPUS_ID:84989900046,10.1038/srep34317,2016,,Rekima A.|Larbret F.|Verhasselt V.|Squillace R.|Pelé J.|Le Menn G.|Murdaca J.|Mothe-Satney I.|Neels J.G.|Sibille B.|Grimaldi P.A.|Rousseau A.S.
SCOPUS_ID:84989930746,10.1016/j.jcp.2016.07.008,2016,,Brèthes G.|Dervieux A.
SCOPUS_ID:84989949578,10.1016/j.molmet.2016.06.005,2016,,Giroud M.|Ghandour R.A.|Chambard J.C.|Pisani D.F.|Amri E.Z.
SCOPUS_ID:84990047467,10.1007/978-3-319-45744-4_25,2016,,Rezk T.|Bielova N.
SCOPUS_ID:84990831296,10.1007/s00285-016-1063-8,2017,Bajeux N.|UCA (affiliation),Bajeux N.|Grognard F.|Mailleret L.
SCOPUS_ID:84990842188,10.2383/83883,2016,Blaya C.|UCA (affiliation),Blaya C.
SCOPUS_ID:84990852952,10.1007/s11725-016-0677-8,2016,,Hébuterne X.|Pishvaie D.|Schneider S.
SCOPUS_ID:84990855873,10.4171/rmi/899,2016,,Raphael P.
SCOPUS_ID:84990996225,10.1016/j.jvs.2016.04.023,2016,,Haudebourg P.|Jean-Baptiste E.|Sadaghianloo N.|Islam M.S.|Declemy S.|Hassen-Khodja R.
SCOPUS_ID:84990997753,10.1007/s10822-016-9976-2,2016,,Marillet S.|Cazals F.
SCOPUS_ID:84991020813,10.1136/bcr-2016-216672,2016,,Bolla M.M.
SCOPUS_ID:84991089204,10.3917/psys.163.0195,2016,,Bettayeb L.
SCOPUS_ID:84991112148,10.3390/w8090392,2016,,Batica J.
SCOPUS_ID:84991242960,10.1163/18757405-02802009,2016,Vives J.M.|UCA (affiliation),Vives J.M.
SCOPUS_ID:84991407920,10.1016/j.respe.2016.05.001,2016,,Timsit M.|Staccini P.
SCOPUS_ID:84991710738,10.1111/cdoe.12241,2016,,Pierre A.|Muller-Bolla M.|Lupi-Pégurier L.
SCOPUS_ID:84991712256,10.1097/MD.0000000000004890,2016,,Garraffo R.
